10150268.xml	DDI-MedLine.d78.s0	NO_SECTION	NO_SETID	9
17	91	94	O	POPs
18	96	100	O	since
19	102	105	O	1975
NULL

10226677.xml	DDI-MedLine.d80.s3	NO_SECTION	NO_SETID	16
Conclusions and the types of studies which support these conclusions are given for each major section.
1	0	10	O	Conclusions
2	12	14	O	and
3	16	18	O	the
4	20	24	O	types
5	26	27	O	of
6	29	35	O	studies
7	37	41	O	which
8	43	49	O	support
9	51	55	O	these
10	57	67	O	conclusions
11	69	71	O	are
12	73	77	O	given
13	79	81	O	for
14	83	86	O	each
15	88	92	O	major
16	94	100	O	section
NULL

10226677.xml	DDI-MedLine.d80.s4	NO_SECTION	NO_SETID	18
The introductory chapter discusses the advantages and disadvantages of POCs and the magnitude and prevalence of their use.
1	0	2	O	The
2	4	15	O	introductory
3	17	23	O	chapter
4	25	33	O	discusses
5	35	37	O	the
6	39	48	O	advantages
7	50	52	O	and
8	54	66	O	disadvantages
9	68	69	O	of
10	71	74	U-UNK	POCs
11	76	78	O	and
12	80	82	O	the
13	84	92	O	magnitude
14	94	96	O	and
15	98	107	O	prevalence
16	109	110	O	of
17	112	116	O	their
18	118	120	O	use
NULL

10226677.xml	DDI-MedLine.d80.s5	NO_SECTION	NO_SETID	5
Future trends are also predicted.
1	0	5	O	Future
2	7	12	O	trends
3	14	16	O	are
4	18	21	O	also
5	23	31	O	predicted
NULL

10226677.xml	DDI-MedLine.d80.s6	NO_SECTION	NO_SETID	11
Chapter 2 considers the mode of action, including ovulation prevention;
1	0	6	O	Chapter
2	8	8	O	2
3	10	18	O	considers
4	20	22	O	the
5	24	27	O	mode
6	29	30	O	of
7	32	37	O	action
8	38	38	O	,
9	40	48	O	including
10	50	58	O	ovulation
11	60	69	O	prevention
NULL

10226677.xml	DDI-MedLine.d80.s7	NO_SECTION	NO_SETID	5
suppression of midcycle gonadotropin peaks;
1	0	10	O	suppression
2	12	13	O	of
3	15	22	O	midcycle
4	24	35	O	gonadotropin
5	37	41	O	peaks
NULL

10226677.xml	DDI-MedLine.d80.s8	NO_SECTION	NO_SETID	12
changes in cervical mucus, the endometrium, and the fallopian tubes;
1	0	6	O	changes
2	8	9	O	in
3	11	18	O	cervical
4	20	24	O	mucus
5	25	25	O	,
6	27	29	O	the
7	31	41	O	endometrium
8	42	42	O	,
9	44	46	O	and
10	48	50	O	the
11	52	60	O	fallopian
12	62	66	O	tubes
NULL

10226677.xml	DDI-MedLine.d80.s9	NO_SECTION	NO_SETID	3
and clinical implications.
1	0	2	O	and
2	4	11	O	clinical
3	13	24	O	implications
NULL

10226677.xml	DDI-MedLine.d80.s10	NO_SECTION	NO_SETID	13
Chapter 3 covers pharmacology (pharmacokinetics, pharmacodynamics and potency, and clinical implications).
1	0	6	O	Chapter
2	8	8	O	3
3	10	15	O	covers
4	17	28	O	pharmacology
5	31	46	O	pharmacokinetics
6	47	47	O	,
7	49	64	O	pharmacodynamics
8	66	68	O	and
9	70	76	O	potency
10	77	77	O	,
11	79	81	O	and
12	83	90	O	clinical
13	92	103	O	implications
NULL

10226677.xml	DDI-MedLine.d80.s11	NO_SECTION	NO_SETID	36
The next chapter presents information on efficacy and pregnancy outcomes in terms of pregnancy rates, compliance and efficacy, ectopic pregnancies, the outcome of pregnancies conceived while using POCs, and fertility following discontinuation.
1	0	2	O	The
2	4	7	O	next
3	9	15	O	chapter
4	17	24	O	presents
5	26	36	O	information
6	38	39	O	on
7	41	48	O	efficacy
8	50	52	O	and
9	54	62	O	pregnancy
10	64	71	O	outcomes
11	73	74	O	in
12	76	80	O	terms
13	82	83	O	of
14	85	93	O	pregnancy
15	95	99	O	rates
16	100	100	O	,
17	102	111	O	compliance
18	113	115	O	and
19	117	124	O	efficacy
20	125	125	O	,
21	127	133	O	ectopic
22	135	145	O	pregnancies
23	146	146	O	,
24	148	150	O	the
25	152	158	O	outcome
26	160	161	O	of
27	163	173	O	pregnancies
28	175	183	O	conceived
29	185	189	O	while
30	191	195	O	using
31	197	200	U-UNK	POCs
32	201	201	O	,
33	203	205	O	and
34	207	215	O	fertility
35	217	225	O	following
36	227	241	O	discontinuation
NULL

10226677.xml	DDI-MedLine.d80.s12	NO_SECTION	NO_SETID	22
Chapter 5 focuses on metabolic effects, specifically lipid metabolism, carbohydrate metabolism and diabetes, coagulation factors, and blood pressure.
1	0	6	O	Chapter
2	8	8	O	5
3	10	16	O	focuses
4	18	19	O	on
5	21	29	O	metabolic
6	31	37	O	effects
7	38	38	O	,
8	40	51	O	specifically
9	53	57	O	lipid
10	59	68	O	metabolism
11	69	69	O	,
12	71	82	O	carbohydrate
13	84	93	O	metabolism
14	95	97	O	and
15	99	106	O	diabetes
16	107	107	O	,
17	109	119	O	coagulation
18	121	127	O	factors
19	128	128	O	,
20	130	132	O	and
21	134	138	O	blood
22	140	147	O	pressure
NULL

10226677.xml	DDI-MedLine.d80.s13	NO_SECTION	NO_SETID	26
Cardiovascular disease is considered in the next chapter, and chapter 7 presents findings on endometrial, ovarian, cervical, breast, and other cancers.
1	0	13	O	Cardiovascular
2	15	21	O	disease
3	23	24	O	is
4	26	35	O	considered
5	37	38	O	in
6	40	42	O	the
7	44	47	O	next
8	49	55	O	chapter
9	56	56	O	,
10	58	60	O	and
11	62	68	O	chapter
12	70	70	O	7
13	72	79	O	presents
14	81	88	O	findings
15	90	91	O	on
16	93	103	O	endometrial
17	104	104	O	,
18	106	112	O	ovarian
19	113	113	O	,
20	115	122	O	cervical
21	123	123	O	,
22	125	130	O	breast
23	131	131	O	,
24	133	135	O	and
25	137	141	O	other
26	143	149	O	cancers
NULL

10226677.xml	DDI-MedLine.d80.s14	NO_SECTION	NO_SETID	16
A host of other medical considerations are discussed in chapter 8, including persistent ovarian follicles;
1	0	0	O	A
2	2	5	O	host
3	7	8	O	of
4	10	14	O	other
5	16	22	O	medical
6	24	37	O	considerations
7	39	41	O	are
8	43	51	O	discussed
9	53	54	O	in
10	56	62	O	chapter
11	64	64	O	8
12	65	65	O	,
13	67	75	O	including
14	77	86	O	persistent
15	88	94	O	ovarian
16	96	104	O	follicles
NULL

10226677.xml	DDI-MedLine.d80.s15	NO_SECTION	NO_SETID	3
reproductive tract infections;
1	0	11	O	reproductive
2	13	17	O	tract
3	19	28	O	infections
NULL

10226677.xml	DDI-MedLine.d80.s16	NO_SECTION	NO_SETID	3
abnormal vaginal bleeding;
1	0	7	O	abnormal
2	9	15	O	vaginal
3	17	24	O	bleeding
NULL

10226677.xml	DDI-MedLine.d80.s18	NO_SECTION	NO_SETID	3
gestational trophoblastic disease;
1	0	10	O	gestational
2	12	24	O	trophoblastic
3	26	32	O	disease
NULL

10226677.xml	DDI-MedLine.d80.s19	NO_SECTION	NO_SETID	3
benign breast disease;
1	0	5	O	benign
2	7	12	O	breast
3	14	20	O	disease
NULL

10226677.xml	DDI-MedLine.d80.s20	NO_SECTION	NO_SETID	9
diseases of the liver, gallbladder, and bowel;
1	0	7	O	diseases
2	9	10	O	of
3	12	14	O	the
4	16	20	O	liver
5	21	21	O	,
6	23	33	O	gallbladder
7	34	34	O	,
8	36	38	O	and
9	40	44	O	bowel
NULL

10226677.xml	DDI-MedLine.d80.s21	NO_SECTION	NO_SETID	2
endocrine dysfunction;
1	0	8	O	endocrine
2	10	20	O	dysfunction
NULL

10226677.xml	DDI-MedLine.d80.s24	NO_SECTION	NO_SETID	3
sickle cell disease;
1	0	5	O	sickle
2	7	10	O	cell
3	12	18	O	disease
NULL

10226677.xml	DDI-MedLine.d80.s28	NO_SECTION	NO_SETID	24
The last 4 chapters cover interactions with drugs and laboratory tests, common side effects, breast feeding, and effective use of POCs.
1	0	2	O	The
2	4	7	O	last
3	9	9	O	4
4	11	18	O	chapters
5	20	24	O	cover
6	26	37	O	interactions
7	39	42	O	with
8	44	48	O	drugs
9	50	52	O	and
10	54	63	O	laboratory
11	65	69	O	tests
12	70	70	O	,
13	72	77	O	common
14	79	82	O	side
15	84	90	O	effects
16	91	91	O	,
17	93	98	O	breast
18	100	106	O	feeding
19	107	107	O	,
20	109	111	O	and
21	113	121	O	effective
22	123	125	O	use
23	127	128	O	of
24	130	133	U-UNK	POCs
NULL

10226677.xml	DDI-MedLine.d80.s29	NO_SECTION	NO_SETID	22
Information on precautions and contraindications, indications, use instructions, and instructions for appropriate actions after missing a pill is appended.
1	0	10	O	Information
2	12	13	O	on
3	15	25	O	precautions
4	27	29	O	and
5	31	47	O	contraindications
6	48	48	O	,
7	50	60	O	indications
8	61	61	O	,
9	63	65	O	use
10	67	78	O	instructions
11	79	79	O	,
12	81	83	O	and
13	85	96	O	instructions
14	98	100	O	for
15	102	112	O	appropriate
16	114	120	O	actions
17	122	126	O	after
18	128	134	O	missing
19	136	136	O	a
20	138	141	O	pill
21	143	144	O	is
22	146	153	O	appended
NULL

10319155.xml	DDI-MedLine.d84.s0	NO_SECTION	NO_SETID	13
Antimicrobial activity of Ganoderma lucidum extract alone and in combination with some antibiotics.
1	0	12	O	Antimicrobial
2	14	21	O	activity
3	23	24	O	of
4	26	34	B-UNK	Ganoderma
5	36	42	I-UNK	lucidum
6	44	50	L-UNK	extract
7	52	56	O	alone
8	58	60	O	and
9	62	63	O	in
10	65	75	O	combination
11	77	80	O	with
12	82	85	O	some
13	87	97	U-UNK	antibiotics
NULL

10319155.xml	DDI-MedLine.d84.s1	NO_SECTION	NO_SETID	42
Antimicrobial activity of GL (the aqueous extract from the carpophores of Ganoderma lucidum (FR)KARST) was tested in vitro against Gram positive and Gram negative bacteria by serial broth dilution method, and the antimicrobial activity was expressed by minimal inhibitory concentration (MIC).
1	0	12	O	Antimicrobial
2	14	21	O	activity
3	23	24	O	of
4	26	27	U-UNK	GL
5	30	32	O	the
6	34	40	O	aqueous
7	42	48	O	extract
8	50	53	O	from
9	55	57	O	the
10	59	69	O	carpophores
11	71	72	O	of
12	74	82	O	Ganoderma
13	84	90	O	lucidum
14	93	100	O	FR)KARST
15	103	105	O	was
16	107	112	O	tested
17	114	115	O	in
18	117	121	O	vitro
19	123	129	O	against
20	131	134	O	Gram
21	136	143	O	positive
22	145	147	O	and
23	149	152	O	Gram
24	154	161	O	negative
25	163	170	O	bacteria
26	172	173	O	by
27	175	180	O	serial
28	182	186	O	broth
29	188	195	O	dilution
30	197	202	O	method
31	203	203	O	,
32	205	207	O	and
33	209	211	O	the
34	213	225	O	antimicrobial
35	227	234	O	activity
36	236	238	O	was
37	240	248	O	expressed
38	250	251	O	by
39	253	259	O	minimal
40	261	270	O	inhibitory
41	272	284	O	concentration
42	287	289	O	MIC
NULL

10319155.xml	DDI-MedLine.d84.s2	NO_SECTION	NO_SETID	25
Among fifteen species of bacteria tested, the antimicrobial activity of GL was the most potent against Micrococcus luteus (MIC, 0.75 mg/ml).
1	0	4	O	Among
2	6	12	O	fifteen
3	14	20	O	species
4	22	23	O	of
5	25	32	O	bacteria
6	34	39	O	tested
7	40	40	O	,
8	42	44	O	the
9	46	58	O	antimicrobial
10	60	67	O	activity
11	69	70	O	of
12	72	73	U-UNK	GL
13	75	77	O	was
14	79	81	O	the
15	83	86	O	most
16	88	93	O	potent
17	95	101	O	against
18	103	113	O	Micrococcus
19	115	120	O	luteus
20	123	125	O	MIC
21	126	126	O	,
22	128	131	O	0.75
23	133	134	O	mg
24	135	135	O	/
25	136	137	O	ml
NULL

10319155.xml	DDI-MedLine.d84.s3	NO_SECTION	NO_SETID	36
To investigate the effects of antimicrobial combinations of GL with four kinds of antibiotics (ampicillin, cefazolin, oxytetracycline and chloramphenicol), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
1	0	1	O	To
2	3	13	O	investigate
3	15	17	O	the
4	19	25	O	effects
5	27	28	O	of
6	30	42	O	antimicrobial
7	44	55	O	combinations
8	57	58	O	of
9	60	61	U-UNK	GL
10	63	66	O	with
11	68	71	O	four
12	73	77	O	kinds
13	79	80	O	of
14	82	92	U-UNK	antibiotics
15	95	104	U-UNK	ampicillin
16	105	105	O	,
17	107	115	U-UNK	cefazolin
18	116	116	O	,
19	118	132	U-UNK	oxytetracycline
20	134	136	O	and
21	138	152	U-UNK	chloramphenicol
22	154	154	O	,
23	156	158	O	the
24	160	169	O	fractional
25	171	180	O	inhibitory
26	182	194	O	concentration
27	196	200	O	index
28	203	206	O	FICI
29	209	211	O	was
30	213	222	O	determined
31	224	225	O	by
32	227	238	O	checkerboard
33	240	244	O	assay
34	246	248	O	for
35	250	253	O	each
36	255	260	O	strain
NULL

10319155.xml	DDI-MedLine.d84.s4	NO_SECTION	NO_SETID	26
The antimicrobial combinations of GL with four antibiotics resulted in additive effect in most instances, synergism in two instances, and antagonism in two instances.
1	0	2	O	The
2	4	16	O	antimicrobial
3	18	29	O	combinations
4	31	32	O	of
5	34	35	U-UNK	GL
6	37	40	O	with
7	42	45	O	four
8	47	57	U-UNK	antibiotics
9	59	66	O	resulted
10	68	69	O	in
11	71	78	O	additive
12	80	85	O	effect
13	87	88	O	in
14	90	93	O	most
15	95	103	O	instances
16	104	104	O	,
17	106	114	O	synergism
18	116	117	O	in
19	119	121	O	two
20	123	131	O	instances
21	132	132	O	,
22	134	136	O	and
23	138	147	O	antagonism
24	149	150	O	in
25	152	154	O	two
26	156	164	O	instances
NULL

10319155.xml	DDI-MedLine.d84.s5	NO_SECTION	NO_SETID	15
Synergism was observed when GL was combined with cefazolin against Bacillus subtilis and Klebsiella oxytoca.
1	0	8	O	Synergism
2	10	12	O	was
3	14	21	O	observed
4	23	26	O	when
5	28	29	U-UNK	GL
6	31	33	O	was
7	35	42	O	combined
8	44	47	O	with
9	49	57	U-UNK	cefazolin
10	59	65	O	against
11	67	74	O	Bacillus
12	76	83	O	subtilis
13	85	87	O	and
14	89	98	O	Klebsiella
15	100	106	O	oxytoca
NULL

1089034.xml	DDI-MedLine.d13.s0	NO_SECTION	NO_SETID	8
Death in amphetamine users: causes and rates.
1	0	4	O	Death
2	6	7	O	in
3	9	19	U-UNK	amphetamine
4	21	25	O	users
5	26	26	O	:
6	28	33	O	causes
7	35	37	O	and
8	39	43	O	rates
NULL

1089034.xml	DDI-MedLine.d13.s1	NO_SECTION	NO_SETID	17
The world medical literature contains 43 reports of deaths associated with amphetamines in a 35-year period.
1	0	2	O	The
2	4	8	O	world
3	10	16	O	medical
4	18	27	O	literature
5	29	36	O	contains
6	38	39	O	43
7	41	47	O	reports
8	49	50	O	of
9	52	57	O	deaths
10	59	68	O	associated
11	70	73	O	with
12	75	86	U-UNK	amphetamines
13	88	89	O	in
14	91	91	O	a
15	93	94	O	35
16	96	99	O	year
17	101	106	O	period
NULL

1089034.xml	DDI-MedLine.d13.s2	NO_SECTION	NO_SETID	30
These included seven cerebrovascular accidents, six sudden cardiac deaths, three cases of hyperpyrexia, eight poisonings of uncertain mechanism and seven cases of medical complications of intravenous injection;
1	0	4	O	These
2	6	13	O	included
3	15	19	O	seven
4	21	35	O	cerebrovascular
5	37	45	O	accidents
6	46	46	O	,
7	48	50	O	six
8	52	57	O	sudden
9	59	65	O	cardiac
10	67	72	O	deaths
11	73	73	O	,
12	75	79	O	three
13	81	85	O	cases
14	87	88	O	of
15	90	101	O	hyperpyrexia
16	102	102	O	,
17	104	108	O	eight
18	110	119	O	poisonings
19	121	122	O	of
20	124	132	O	uncertain
21	134	142	O	mechanism
22	144	146	O	and
23	148	152	O	seven
24	154	158	O	cases
25	160	161	O	of
26	163	169	O	medical
27	171	183	O	complications
28	185	186	O	of
29	188	198	O	intravenous
30	200	208	O	injection
NULL

1089034.xml	DDI-MedLine.d13.s3	NO_SECTION	NO_SETID	6
the remainder were of uncertain cause.
1	0	2	O	the
2	4	12	O	remainder
3	14	17	O	were
4	19	20	O	of
5	22	30	O	uncertain
6	32	36	O	cause
NULL

1089034.xml	DDI-MedLine.d13.s4	NO_SECTION	NO_SETID	29
In contrast, in Ontario alone, in 1972 and 1973 there were 26 deaths in amphetamine users, of which 16 were due to accident suicide or homicide.
1	0	1	O	In
2	3	10	O	contrast
3	11	11	O	,
4	13	14	O	in
5	16	22	O	Ontario
6	24	28	O	alone
7	29	29	O	,
8	31	32	O	in
9	34	37	O	1972
10	39	41	O	and
11	43	46	O	1973
12	48	52	O	there
13	54	57	O	were
14	59	60	O	26
15	62	67	O	deaths
16	69	70	O	in
17	72	82	U-UNK	amphetamine
18	84	88	O	users
19	89	89	O	,
20	91	92	O	of
21	94	98	O	which
22	100	101	O	16
23	103	106	O	were
24	108	110	O	due
25	112	113	O	to
26	115	122	O	accident
27	124	130	O	suicide
28	132	133	O	or
29	135	142	O	homicide
NULL

1089034.xml	DDI-MedLine.d13.s5	NO_SECTION	NO_SETID	18
Of the remaining cases, two were cardiac, two hepatic and the rest were mixed drug overdose.
1	0	1	O	Of
2	3	5	O	the
3	7	15	O	remaining
4	17	21	O	cases
5	22	22	O	,
6	24	26	O	two
7	28	31	O	were
8	33	39	O	cardiac
9	40	40	O	,
10	42	44	O	two
11	46	52	O	hepatic
12	54	56	O	and
13	58	60	O	the
14	62	65	O	rest
15	67	70	O	were
16	72	76	O	mixed
17	78	81	O	drug
18	83	90	O	overdose
NULL

1089034.xml	DDI-MedLine.d13.s6	NO_SECTION	NO_SETID	18
Pulmonary granulomata, subacute hepatitis and other lesions resulting from intravenous drug use were common findings at autopsy.
1	0	8	O	Pulmonary
2	10	20	O	granulomata
3	21	21	O	,
4	23	30	O	subacute
5	32	40	O	hepatitis
6	42	44	O	and
7	46	50	O	other
8	52	58	O	lesions
9	60	68	O	resulting
10	70	73	O	from
11	75	85	O	intravenous
12	87	90	O	drug
13	92	94	O	use
14	96	99	O	were
15	101	106	O	common
16	108	115	O	findings
17	117	118	O	at
18	120	126	O	autopsy
NULL

1089034.xml	DDI-MedLine.d13.s7	NO_SECTION	NO_SETID	49
On the basis of the estimated number of regular users of intravenous amphetamine in Ontario, the mortality rate in such users is at least four times as high as in the general population of the same age, and is comparable to that in alcoholics and heroin addicts.
1	0	1	O	On
2	3	5	O	the
3	7	11	O	basis
4	13	14	O	of
5	16	18	O	the
6	20	28	O	estimated
7	30	35	O	number
8	37	38	O	of
9	40	46	O	regular
10	48	52	O	users
11	54	55	O	of
12	57	67	O	intravenous
13	69	79	U-UNK	amphetamine
14	81	82	O	in
15	84	90	O	Ontario
16	91	91	O	,
17	93	95	O	the
18	97	105	O	mortality
19	107	110	O	rate
20	112	113	O	in
21	115	118	O	such
22	120	124	O	users
23	126	127	O	is
24	129	130	O	at
25	132	136	O	least
26	138	141	O	four
27	143	147	O	times
28	149	150	O	as
29	152	155	O	high
30	157	158	O	as
31	160	161	O	in
32	163	165	O	the
33	167	173	O	general
34	175	184	O	population
35	186	187	O	of
36	189	191	O	the
37	193	196	O	same
38	198	200	O	age
39	201	201	O	,
40	203	205	O	and
41	207	208	O	is
42	210	219	O	comparable
43	221	222	O	to
44	224	227	O	that
45	229	230	O	in
46	232	241	O	alcoholics
47	243	245	O	and
48	247	252	U-UNK	heroin
49	254	260	O	addicts
NULL

1089034.xml	DDI-MedLine.d13.s8	NO_SECTION	NO_SETID	22
However, the absolute number of alcohol-related deaths is far greater than the number of deaths in amphetamine or heroin users.
1	0	6	O	However
2	7	7	O	,
3	9	11	O	the
4	13	20	O	absolute
5	22	27	O	number
6	29	30	O	of
7	32	38	U-UNK	alcohol
8	40	46	O	related
9	48	53	O	deaths
10	55	56	O	is
11	58	60	O	far
12	62	68	O	greater
13	70	73	O	than
14	75	77	O	the
15	79	84	O	number
16	86	87	O	of
17	89	94	O	deaths
18	96	97	O	in
19	99	109	U-UNK	amphetamine
20	111	112	O	or
21	114	119	U-UNK	heroin
22	121	125	O	users
NULL

1089817.xml	DDI-MedLine.d50.s0	NO_SECTION	NO_SETID	6
Ascorbic acid and the common cold.
1	0	7	B-UNK	Ascorbic
2	9	12	L-UNK	acid
3	14	16	O	and
4	18	20	O	the
5	22	27	O	common
6	29	32	O	cold
NULL

1089817.xml	DDI-MedLine.d50.s1	NO_SECTION	NO_SETID	6
Evaluation of its efficacy and toxicity.
1	0	9	O	Evaluation
2	11	12	O	of
3	14	16	O	its
4	18	25	O	efficacy
5	27	29	O	and
6	31	38	O	toxicity
NULL

1089817.xml	DDI-MedLine.d50.s2	NO_SECTION	NO_SETID	26
We reviewed the clinical data relating to the efficacy and safety of pharmacologic doses of ascorbic acid in the prevention and treatment of the common cold.
1	0	1	O	We
2	3	10	O	reviewed
3	12	14	O	the
4	16	23	O	clinical
5	25	28	O	data
6	30	37	O	relating
7	39	40	O	to
8	42	44	O	the
9	46	53	O	efficacy
10	55	57	O	and
11	59	64	O	safety
12	66	67	O	of
13	69	81	O	pharmacologic
14	83	87	O	doses
15	89	90	O	of
16	92	99	B-UNK	ascorbic
17	101	104	L-UNK	acid
18	106	107	O	in
19	109	111	O	the
20	113	122	O	prevention
21	124	126	O	and
22	128	136	O	treatment
23	138	139	O	of
24	141	143	O	the
25	145	150	O	common
26	152	155	O	cold
NULL

1089817.xml	DDI-MedLine.d50.s3	NO_SECTION	NO_SETID	48
Although one study tentatively supports the hypothesis that such doses of ascorbic acid may be efficacious, a second study by the same group did not confirm the significant findings, and no clear, reproducible pattern of efficacy has emerged from the review of all the evidence.
1	0	7	O	Although
2	9	11	O	one
3	13	17	O	study
4	19	29	O	tentatively
5	31	38	O	supports
6	40	42	O	the
7	44	53	O	hypothesis
8	55	58	O	that
9	60	63	O	such
10	65	69	O	doses
11	71	72	O	of
12	74	81	B-UNK	ascorbic
13	83	86	L-UNK	acid
14	88	90	O	may
15	92	93	O	be
16	95	105	O	efficacious
17	106	106	O	,
18	108	108	O	a
19	110	115	O	second
20	117	121	O	study
21	123	124	O	by
22	126	128	O	the
23	130	133	O	same
24	135	139	O	group
25	141	143	O	did
26	145	147	O	not
27	149	155	O	confirm
28	157	159	O	the
29	161	171	O	significant
30	173	180	O	findings
31	181	181	O	,
32	183	185	O	and
33	187	188	O	no
34	190	194	O	clear
35	195	195	O	,
36	197	208	O	reproducible
37	210	216	O	pattern
38	218	219	O	of
